name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,slack_weight,type,controllable,max_p_mw,min_p_mw
,238,-7.05,1.018711,,-11.24,38.52,1.0,False,True,0.0,,True,100.0,-9.4
,245,307.1,1.06685,,-112.59,378.08,1.0,False,True,0.0,,True,800.0,266.67
,247,-172.0,1.043991,,-12.35,37.47,1.0,False,True,0.0,,True,100.0,-229.33
,254,423.2,1.059597,,-85.89,220.66,1.0,False,True,0.0,,True,500.0,166.67000000000002
,261,-115.4,1.033795,,-11.72,38.1,1.0,False,True,0.0,,True,100.0,-153.87
,262,-34.4,1.028681,,-6.95,5.05,1.0,False,True,0.0,,True,100.0,-45.87
,277,-64.1,1.014153,,-12.09,37.7,1.0,False,True,0.0,,True,100.0,-85.47
,281,1245.7,1.077605,,-300.35,924.64,1.0,False,True,0.0,,True,2000.0,666.67
,288,52.7,1.046783,,-10.81,26.02,1.0,False,True,0.0,,True,60.0,0.0
,293,250.0,1.003375,,-21.32,45.1,1.0,False,True,0.0,,True,480.0,160.0
,298,975.9,1.039248,,-258.71,721.25,1.0,False,True,0.0,,True,1600.0,533.33
,308,95.10000000000001,0.989085,,-18.72,42.62,1.0,False,True,0.0,,True,100.0,0.0
,309,346.18,1.155322,,-99999.0,99999.0,1.0,False,True,0.0,,True,700.0,200.0
,312,9.6,1.025259,,-7.17,4.83,1.0,False,True,0.0,,True,10.08,0.0
,319,1760.0,1.013336,,-843.96,320.04,1.0,False,True,0.0,,True,1812.0,604.0
,323,94.0,1.063285,,-27.29,95.32000000000001,1.0,False,True,0.0,,True,200.0,0.0
,324,-21.4,1.009625,,-1.01,1.93,1.0,False,True,0.0,,True,100.0,-28.53
,327,-77.9,1.017618,,-56.14,188.91,1.0,False,True,0.0,,True,100.0,-103.87
,337,83.7,1.046957,,-19.16,55.54,1.0,False,True,0.0,,True,120.0,0.0
,346,50.8,1.020949,,-42.67,33.33,1.0,False,True,0.0,,True,53.42,0.0
,347,160.4,1.057894,,-36.9,110.57000000000001,1.0,False,True,0.0,,True,240.0,0.0
,351,1250.4,1.048835,,-297.68,926.35,1.0,False,True,0.0,,True,2000.0,666.67
,360,238.3,1.05949,,-58.5,186.39000000000001,1.0,False,True,0.0,,True,400.0,133.33
,365,185.6,1.008853,,-120.27,61.97,1.0,False,True,0.0,,True,196.0,65.33
,371,-54.9,1.074991,,-84.3,282.95,1.0,False,True,0.0,,True,100.0,-73.2
,381,25.68,1.060853,,-11.44,38.4,1.0,False,True,0.0,,True,80.0,0.0
,388,69.0,1.017731,,-17.84,56.73,1.0,False,True,0.0,,True,120.0,0.0
,393,2404.4,1.063147,,-490.17,1224.26,1.0,False,True,0.0,,True,2800.0,933.33
,405,31.0,1.012399,,-17.35,22.22,1.0,False,True,0.0,,True,61.23,0.0
,408,-62.0,1.032831,,-29.67,24.32,1.0,False,True,0.0,,True,100.0,-82.67
,410,35.9,1.03248,,-7.27,17.66,1.0,False,True,0.0,,True,40.0,0.0
,412,231.0,1.048421,,-49.84,124.12,1.0,False,True,0.0,,True,280.0,0.0
,422,-19.2,1.030299,,-2.6,5.22,1.0,False,True,0.0,,True,100.0,-25.6
,423,636.3000000000001,1.051241,,-125.48,304.38,1.0,False,True,0.0,,True,700.0,233.33
,432,436.0,1.024885,,-89.22,217.18,1.0,False,True,0.0,,True,500.0,166.67000000000002
,433,-2.8,1.037999,,-3.25,2.75,1.0,False,True,0.0,,True,100.0,-3.73
,437,74.0,1.038705,,-16.18,45.1,1.0,False,True,0.0,,True,100.0,0.0
,438,308.6,1.072491,,-69.21000000000001,175.16,1.0,False,True,0.0,,True,400.0,0.0
,439,83.10000000000001,1.028093,,-19.01,55.73,1.0,False,True,0.0,,True,120.0,0.0
,441,-40.35,1.011727,,-0.93,1.95,1.0,False,True,0.0,,True,100.0,-53.8
,446,37.7,1.035215,,-8.04,16.84,1.0,False,True,0.0,,True,40.0,0.0
,451,-56.8,1.013382,,-11.94,37.86,1.0,False,True,0.0,,True,100.0,-75.73
,452,260.1,1.024712,,-74.4,257.23,1.0,False,True,0.0,,True,540.0,0.0
,455,-28.08,0.999847,,-39.81,44.8,1.0,False,True,0.0,,True,100.0,-37.44
,483,229.5,1.054091,,-50.85,132.41,1.0,False,True,0.0,,True,300.0,0.0
,488,-107.4,1.008032,,-4.82,6.28,1.0,False,True,0.0,,True,100.0,-143.20000000000002
,490,105.4,1.033193,,-28.1,94.56,1.0,False,True,0.0,,True,200.0,0.0
,504,110.60000000000001,1.022173,,-58.33,37.34,1.0,False,True,0.0,,True,116.03,0.0
,510,101.4,1.081589,,-28.04,94.38,1.0,False,True,0.0,,True,200.0,0.0
,514,324.82,1.045162,,-27.24,72.5,1.0,False,True,0.0,,True,700.0,200.0
,515,539.4,1.07129,,-106.67,261.79,1.0,False,True,0.0,,True,600.0,200.0
,517,-410.3,1.067615,,-37.21,85.63,1.0,False,True,0.0,,True,100.0,-547.07
,523,69.0,1.046979,,-43.07,30.15,1.0,False,True,0.0,,True,72.45,0.0
,540,118.2,1.03819,,-27.19,7.81,1.0,False,True,0.0,,True,124.19,0.0
,563,-51.67,1.06702,,-19.35,18.47,1.0,False,True,0.0,,True,100.0,-68.89
,577,-110.3,1.042146,,-11.01,25.88,1.0,False,True,0.0,,True,100.0,-147.07
,582,-270.0,1.048595,,-7.03,17.88,1.0,False,True,0.0,,True,100.0,-360.0
,586,246.0,1.040079,,-59.39,185.56,1.0,False,True,0.0,,True,400.0,133.33
,589,100.7,1.065004,,-110.08,380.31,1.0,False,True,0.0,,True,300.0,67.13
,614,38.2,1.068592,,-7.79,17.09,1.0,False,True,0.0,,True,40.0,0.0
,615,379.2,1.04484,,-81.16,217.9,1.0,False,True,0.0,,True,480.0,160.0
,617,670.3000000000001,1.022784,,-139.11,351.18,1.0,False,True,0.0,,True,800.0,266.67
,627,152.4,0.982057,,-31.69,78.79,1.0,False,True,0.0,,True,180.0,0.0
,635,101.89,1.04241,,-21.87,52.99,1.0,False,True,0.0,,True,120.0,0.0
,636,21.3,1.031148,,-8.44,11.2,1.0,False,True,0.0,,True,22.32,0.0
,638,-46.2,1.033532,,-38.9,135.52,1.0,False,True,0.0,,True,100.0,-61.6
,641,63.33,1.031368,,-93.03,90.13,1.0,False,True,0.0,,True,276.09000000000003,0.0
,647,47.2,1.02749,,-11.87,37.95,1.0,False,True,0.0,,True,80.0,0.0
,671,67.0,1.02121,,-62.92,71.32000000000001,1.0,False,True,0.0,,True,205.81,0.0
,681,37.4,1.060787,,-11.06,38.77,1.0,False,True,0.0,,True,80.0,0.0
,685,-21.65,1.013903,,-34.26,34.75,1.0,False,True,0.0,,True,100.0,-28.86
,691,274.8,1.059006,,-62.79,182.17000000000002,1.0,False,True,0.0,,True,400.0,133.33
,696,634.8000000000001,1.031719,,-132.75,357.40000000000003,1.0,False,True,0.0,,True,800.0,266.67
,697,274.8,0.999662,,-53.91,129.94,1.0,False,True,0.0,,True,300.0,100.0
,708,16.0,1.068875,,-20.83,22.23,1.0,False,True,0.0,,True,65.3,0.0
,710,27.8,1.070147,,-113.63,377.01,1.0,False,True,0.0,,True,100.0,18.53
,712,99.3,1.034791,,-20.79,53.98,1.0,False,True,0.0,,True,120.0,0.0
,713,453.40000000000003,1.065017,,-114.08,376.36,1.0,False,True,0.0,,True,800.0,266.67
,714,323.1,1.021604,,-179.95000000000002,66.42,1.0,False,True,0.0,,True,366.0,122.0
,726,384.26,1.070143,,-111.09,379.61,1.0,False,True,0.0,,True,800.0,266.67
,727,70.8,1.030375,,-44.31,35.73,1.0,False,True,0.0,,True,74.28,0.0
,734,170.0,1.026593,,-122.06,89.94,1.0,False,True,0.0,,True,178.5,0.0
,737,90.79,1.033376,,-95.15,107.86,1.0,False,True,0.0,,True,311.39,34.6
,738,465.7,1.035442,,-93.45,212.97,1.0,False,True,0.0,,True,500.0,166.67000000000002
,748,198.88,1.053546,,-43.84,105.69,1.0,False,True,0.0,,True,240.0,0.0
,750,65.9,1.020488,,-47.24,136.94,1.0,False,True,0.0,,True,300.0,0.0
,756,116.7,1.013994,,-23.41,51.3,1.0,False,True,0.0,,True,120.0,0.0
,762,37.3,1.042899,,-8.97,27.88,1.0,False,True,0.0,,True,60.0,0.0
,763,138.3,1.048246,,-71.12,174.17000000000002,1.0,False,True,0.0,,True,400.0,133.33
,764,170.70000000000002,1.017174,,-33.84,76.76,1.0,False,True,0.0,,True,180.0,0.0
,773,134.4,1.038992,,-60.74,81.57000000000001,1.0,False,True,0.0,,True,141.12,0.0
,775,-111.4,1.023986,,-6.73,18.16,1.0,False,True,0.0,,True,100.0,-148.53
,777,16.5,1.047837,,-9.36,12.37,1.0,False,True,0.0,,True,33.58,0.0
,778,37.8,1.039304,,-7.58,17.34,1.0,False,True,0.0,,True,45.0,0.0
,779,50.8,1.001975,,-12.32,37.43,1.0,False,True,0.0,,True,80.0,0.0
,790,569.74,1.052091,,-167.48,567.63,1.0,False,True,0.0,,True,1200.0,400.0
,794,58.4,1.041931,,-13.04,36.75,1.0,False,True,0.0,,True,80.0,0.0
,795,31.6,1.01604,,-10.74,39.0,1.0,False,True,0.0,,True,80.0,0.0
,802,-89.2,1.04662,,-25.54,74.03,1.0,False,True,0.0,,True,100.0,-118.93
,806,1597.5,1.053518,,-360.97,864.47,1.0,False,True,0.0,,True,2000.0,666.67
,812,505.6,1.037003,,-290.93,309.08,1.0,False,True,0.0,,True,602.0,200.67000000000002
,822,1274.2,1.039055,,-298.31,926.6800000000001,1.0,False,True,0.0,,True,2000.0,666.67
,827,55.9,1.044382,,-22.43,20.87,1.0,False,True,0.0,,True,58.7,0.0
,830,85.2,1.003271,,-19.18,55.59,1.0,False,True,0.0,,True,120.0,0.0
,831,507.0,1.004583,,-102.83,264.71,1.0,False,True,0.0,,True,600.0,200.0
,836,44.0,1.022737,,-9.66,27.19,1.0,False,True,0.0,,True,60.0,0.0
,843,97.5,1.064419,,-20.47,54.35,1.0,False,True,0.0,,True,120.0,0.0
,847,4.03,1.011431,,-38.12,49.63,1.0,False,True,0.0,,True,100.0,2.69
,848,8.7,1.037264,,-4.91,6.45,1.0,False,True,0.0,,True,17.57,0.0
,850,59.56,1.018845,,-27.81,96.64,1.0,False,True,0.0,,True,200.0,0.0
,857,855.6,1.028813,,-172.15,440.67,1.0,False,True,0.0,,True,1000.0,333.33
,860,55.8,1.050818,,-16.68,57.98,1.0,False,True,0.0,,True,120.0,0.0
,874,343.5,1.038959,,-78.19,228.16,1.0,False,True,0.0,,True,500.0,166.67000000000002
,887,181.98,1.037604,,-45.27,138.6,1.0,False,True,0.0,,True,300.0,100.0
,890,1702.8,1.062964,,-373.91,1097.41,1.0,False,True,0.0,,True,2400.0,800.0
,893,264.67,1.054199,,-57.74,141.93,1.0,False,True,0.0,,True,320.0,0.0
,895,-2.7,1.021987,,-11.4,8.6,1.0,False,True,0.0,,True,100.0,-3.6
,912,1249.4,1.026545,,-269.94,772.11,1.0,False,True,0.0,,True,1700.0,566.67
,915,230.20000000000002,1.022135,,-49.76,134.45,1.0,False,True,0.0,,True,300.0,0.0
,916,32.0,1.061631,,-6.73,18.22,1.0,False,True,0.0,,True,40.0,0.0
,925,420.0,1.008066,,-87.96000000000001,201.12,1.0,False,True,0.0,,True,472.0,157.33
,926,27.4,1.067901,,-8.16,28.69,1.0,False,True,0.0,,True,60.0,0.0
,929,679.6,1.058189,,-144.75,406.66,1.0,False,True,0.0,,True,900.0,300.0
,971,1221.2,1.078612,,-291.52,934.73,1.0,False,True,0.0,,True,2000.0,666.67
,973,83.89,1.033045,,-20.21,54.36,1.0,False,True,0.0,,True,120.0,0.0
,975,21.3,1.024328,,-35.35,36.02,1.0,False,True,0.0,,True,107.83,0.0
,977,14.9,1.017319,,-2.99,6.43,1.0,False,True,0.0,,True,15.15,0.0
,982,1034.8,1.078039,,-277.27,948.36,1.0,False,True,0.0,,True,2000.0,666.67
,983,1029.2,1.031963,,-240.84,738.9300000000001,1.0,False,True,0.0,,True,1600.0,533.33
,990,21.68,1.001634,,-8.05,16.83,1.0,False,True,0.0,,True,40.0,0.0
,991,14.96,1.030255,,-10.87,25.97,1.0,False,True,0.0,,True,60.0,0.0
,992,-136.9,1.037248,,-7.07,17.85,1.0,False,True,0.0,,True,100.0,-182.53
,1000,92.10000000000001,1.069874,,-19.81,55.02,1.0,False,True,0.0,,True,120.0,0.0
,1001,171.0,1.03837,,-35.15,89.55,1.0,False,True,0.0,,True,200.0,0.0
,1003,86.4,0.99944,,-17.4,43.99,1.0,False,True,0.0,,True,100.0,0.0
,1020,-179.3,1.012345,,-16.23,58.34,1.0,False,True,0.0,,True,100.0,-239.07
,1028,138.6,1.037886,,-31.73,90.64,1.0,False,True,0.0,,True,200.0,0.0
,1029,164.94,1.007808,,-27.89,71.66,1.0,False,True,0.0,,True,400.0,100.0
,1035,202.5,1.037074,,-46.45,137.39000000000001,1.0,False,True,0.0,,True,300.0,100.0
,1042,829.5,1.027465,,-163.4,387.88,1.0,False,True,0.0,,True,900.0,300.0
,1049,337.91,1.055375,,-71.79,173.5,1.0,False,True,0.0,,True,518.72,252.05
,1081,364.40000000000003,1.027941,,-73.5,171.62,1.0,False,True,0.0,,True,400.0,133.33
,1082,91.8,1.050507,,-19.88,54.91,1.0,False,True,0.0,,True,120.0,0.0
,1087,4.6,1.025882,,-3.66,8.06,1.0,False,True,0.0,,True,45.99,0.0
,1092,837.0,1.024587,,-185.15,550.69,1.0,False,True,0.0,,True,1200.0,400.0
,1096,17.5,1.013606,,-6.64,6.17,1.0,False,True,0.0,,True,18.38,0.0
,1097,93.35000000000001,1.104358,,-31.24,91.42,1.0,False,True,0.0,,True,200.0,66.67
,1099,58.2,1.042301,,-13.01,36.8,1.0,False,True,0.0,,True,80.0,0.0
,1101,-124.15,1.048163,,-11.59,38.05,1.0,False,True,0.0,,True,100.0,-165.54
,1102,405.69,1.043526,,-112.66,376.66,1.0,False,True,0.0,,True,800.0,266.67
,1116,744.1,1.009173,,-487.11,307.47,1.0,False,True,0.0,,True,864.0,288.0
,1118,298.7,1.044725,,-57.33,126.49000000000001,1.0,False,True,0.0,,True,300.0,100.0
,1120,289.79,1.017488,,-62.81,158.20000000000002,1.0,False,True,0.0,,True,360.0,0.0
,1121,75.2,1.043868,,-56.08,68.0,1.0,False,True,0.0,,True,190.28,0.0
,1124,129.6,1.04319,,-34.74,114.57000000000001,1.0,False,True,0.0,,True,240.0,0.0
,1130,667.5,1.036981,,-143.61,407.66,1.0,False,True,0.0,,True,900.0,300.0
,1137,930.3000000000001,1.088765,,-180.70000000000002,432.44,1.0,False,True,0.0,,True,1000.0,333.33
,1138,175.48,1.054186,,-41.5,107.89,1.0,False,True,0.0,,True,240.0,0.0
,1144,173.47,1.040382,,-144.24,153.07,1.0,False,True,0.0,,True,452.53000000000003,37.71
,1172,-124.7,1.018544,,-0.88,1.85,1.0,False,True,0.0,,True,100.0,-166.27
,1173,26.8,1.002801,,-6.28,18.61,1.0,False,True,0.0,,True,40.0,0.0
,1174,309.54,1.038334,,-39.12,108.35000000000001,1.0,False,True,0.0,,True,700.0,200.0
,1175,6.7,1.016193,,-28.09,94.13,1.0,False,True,0.0,,True,100.0,4.46
,1183,329.2,1.037371,,-67.55,178.02,1.0,False,True,0.0,,True,400.0,0.0
,1219,107.4,1.008655,,-26.48,84.07000000000001,1.0,False,True,0.0,,True,180.0,0.0
,1224,282.8,1.051668,,-55.64,118.84,1.0,False,True,0.0,,True,290.43,0.0
,1236,1504.8,1.103909,,-319.44,906.61,1.0,False,True,0.0,,True,2000.0,666.67
,1240,46.13,1.019582,,-20.98,22.29,1.0,False,True,0.0,,True,65.63,0.0
,1242,81.7,1.080005,,-17.02,44.3,1.0,False,True,0.0,,True,100.0,0.0
,1243,16.2,1.026736,,-28.85,23.86,1.0,False,True,0.0,,True,63.79,0.0
,1250,837.0,1.024626,,-185.15,550.69,1.0,False,True,0.0,,True,1200.0,400.0
,1257,71.0,1.032962,,-14.83,34.91,1.0,False,True,0.0,,True,80.0,0.0
,1266,155.3,1.04637,,-52.9,191.38,1.0,False,True,0.0,,True,400.0,133.33
,1270,-100.5,1.0139,,-32.11,32.54,1.0,False,True,0.0,,True,100.0,-134.0
,1294,-124.10000000000001,1.035594,,-12.88,36.92,1.0,False,True,0.0,,True,100.0,-165.47
,1306,-410.1,1.062062,,-14.34,35.48,1.0,False,True,0.0,,True,100.0,-546.8000000000001
,1312,18.18,1.031257,,-7.42,17.51,1.0,False,True,0.0,,True,40.0,0.0
,1314,-234.9,1.091975,,-11.55,38.26,1.0,False,True,0.0,,True,100.0,-313.2
,1319,279.6,1.01339,,-60.3,160.62,1.0,False,True,0.0,,True,360.0,0.0
,1336,184.1,1.05919,,-54.2,190.67000000000002,1.0,False,True,0.0,,True,400.0,133.33
,1340,67.2,1.035237,,-17.62,57.03,1.0,False,True,0.0,,True,120.0,0.0
,1353,-246.5,1.034497,,-11.73,38.08,1.0,False,True,0.0,,True,100.0,-328.67
,1360,-83.60000000000001,1.001499,,-30.76,91.51,1.0,False,True,0.0,,True,100.0,-111.47
,1364,314.0,1.045092,,-66.1,179.34,1.0,False,True,0.0,,True,400.0,133.33
,1370,87.10000000000001,1.02639,,-88.84,47.16,1.0,False,True,0.0,,True,197.4,0.0
,1377,-30.21,1.015715,,-7.37,4.86,1.0,False,True,0.0,,True,100.0,-40.28
,1386,-198.4,1.029614,,-71.24,174.11,1.0,False,True,0.0,,True,100.0,-264.53000000000003
,1389,299.2,1.076512,,-57.1,126.8,1.0,False,True,0.0,,True,301.01,100.34
,1390,26.2,1.027192,,-6.17,18.74,1.0,False,True,0.0,,True,40.0,0.0
,1398,-174.6,1.04788,,-10.2,11.64,1.0,False,True,0.0,,True,100.0,-232.8
,1401,200.20000000000002,1.019959,,-46.67,136.48,1.0,False,True,0.0,,True,300.0,100.0
,1408,628.19,1.022303,,-151.76,338.66,1.0,False,True,0.0,,True,800.0,266.67
,1416,39.99,1.009035,,-11.7,38.08,1.0,False,True,0.0,,True,80.0,0.0
,1419,399.5,1.001444,,-126.77,251.08,1.0,False,True,0.0,,True,790.0,263.33
,1421,-101.0,1.047835,,-6.79,18.09,1.0,False,True,0.0,,True,100.0,-134.67000000000002
,1425,416.5,1.072946,,-86.22,220.32,1.0,False,True,0.0,,True,500.0,0.0
,1432,57.2,1.01442,,-50.26,35.74,1.0,False,True,0.0,,True,60.06,0.0
,1435,49.4,1.054052,,-12.09,37.72,1.0,False,True,0.0,,True,80.0,0.0
,1439,115.0,1.011268,,-57.86,41.52,1.0,False,True,0.0,,True,120.75,0.0
,1443,130.32,1.023146,,-273.1,142.87,1.0,False,True,0.0,,True,357.63,-86.36
,1457,1588.0,1.045766,,-330.78000000000003,895.23,1.0,False,True,0.0,,True,2000.0,666.67
,1473,-27.0,1.010259,,-1.04,1.9,1.0,False,True,0.0,,True,100.0,-36.0
,1474,783.9,1.020467,,-157.0,394.45,1.0,False,True,0.0,,True,900.0,300.0
,1477,62.6,1.048923,,-13.44,36.4,1.0,False,True,0.0,,True,80.0,0.0
,1480,297.8,1.040265,,-195.85,539.99,1.0,False,True,0.0,,True,600.0,100.0
,1483,288.3,1.027385,,-56.36,127.72,1.0,False,True,0.0,,True,300.0,0.0
,1486,389.03000000000003,1.055167,,-72.75,176.62,1.0,False,True,0.0,,True,400.0,0.0
,1491,261.6,1.02928,,-114.18,376.31,1.0,False,True,0.0,,True,600.0,100.0
,1497,5.2,1.073955,,-1.06,2.25,1.0,False,True,0.0,,True,5.31,0.0
,1506,-99.2,1.057885,,-6.16,18.77,1.0,False,True,0.0,,True,100.0,-132.26
,1507,149.20000000000002,1.062401,,-32.49,90.09,1.0,False,True,0.0,,True,200.0,0.0
,1528,-22.7,1.01463,,-1.06,1.88,1.0,False,True,0.0,,True,100.0,-30.27
,1545,341.2,1.042059,,-69.96000000000001,175.3,1.0,False,True,0.0,,True,400.0,133.33
,1549,350.0,1.082656,,-70.75,174.21,1.0,False,True,0.0,,True,400.0,133.33
,1554,453.40000000000003,1.065019,,-114.08,376.36,1.0,False,True,0.0,,True,800.0,266.67
,1556,993.3000000000001,1.039811,,-196.84,478.45,1.0,False,True,0.0,,True,1100.0,366.67
,1557,24.1,1.01534,,-3.82,7.91,1.0,False,True,0.0,,True,47.25,0.0
,1569,121.4,1.076277,,-29.49,93.16,1.0,False,True,0.0,,True,200.0,66.67
,1581,312.0,1.042602,,-67.01,177.98,1.0,False,True,0.0,,True,400.0,0.0
,1588,-31.54,1.023343,,-17.0,5.55,1.0,False,True,0.0,,True,100.0,-42.05
,1603,50.6,1.037285,,-12.17,37.66,1.0,False,True,0.0,,True,80.0,0.0
,1605,358.2,1.077423,,-70.71000000000001,174.6,1.0,False,True,0.0,,True,400.0,133.33
,1617,-136.6,1.075715,,-20.07,21.27,1.0,False,True,0.0,,True,100.0,-182.13
,1625,22.8,1.038045,,-14.75,17.31,1.0,False,True,0.0,,True,28.35,0.0
,1641,50.4,1.025423,,-12.11,37.74,1.0,False,True,0.0,,True,80.0,0.0
,1679,1250.4,1.038879,,-296.1,928.89,1.0,False,True,0.0,,True,2000.0,666.67
,1683,599.3000000000001,1.033747,,-205.67000000000002,530.3,1.0,False,True,0.0,,True,1200.0,400.0
,1684,62.7,1.003785,,-17.22,57.41,1.0,False,True,0.0,,True,120.0,0.0
,1696,-189.0,1.036203,,-31.24,31.94,1.0,False,True,0.0,,True,100.0,-252.0
,1707,860.8000000000001,1.034651,,-173.3,439.37,1.0,False,True,0.0,,True,1000.0,333.33
,1714,25.35,1.054322,,-14.76,35.11,1.0,False,True,0.0,,True,80.0,0.0
,1716,19.9,1.022926,,-5.65,19.25,1.0,False,True,0.0,,True,40.0,0.0
,1718,269.17,1.085028,,-111.85000000000001,378.7,1.0,False,True,0.0,,True,800.0,266.67
,1719,994.5,1.072226,,-201.82,534.24,1.0,False,True,0.0,,True,1200.0,400.0
,1720,28.1,1.061454,,-6.39,18.52,1.0,False,True,0.0,,True,40.0,0.0
,1725,48.66,1.067726,,-19.44,55.28,1.0,False,True,0.0,,True,120.0,0.0
,1735,200.0,1.06645,,-38.13,84.74,1.0,False,True,0.0,,True,202.58,67.53
,1737,623.6,1.015757,,-215.51,267.73,1.0,False,True,0.0,,True,720.0,240.0
,1742,79.60000000000001,1.033701,,-18.48,55.21,1.0,False,True,0.0,,True,125.0,0.0
,1746,835.5,1.053359,,-163.73,387.67,1.0,False,True,0.0,,True,900.0,300.0
,1747,326.8,1.038042,,-68.45,176.69,1.0,False,True,0.0,,True,400.0,133.33
,1753,40.0,1.037047,,-7.92,16.99,1.0,False,True,0.0,,True,41.06,0.0
,1755,178.8,1.037533,,-35.37,87.48,1.0,False,True,0.0,,True,200.0,66.67
,1775,595.0,0.967759,,-99999.0,99999.0,1.0,False,True,0.0,,True,624.75,0.0
,1784,108.3,0.998,,-22.85,51.66,1.0,False,True,0.0,,True,120.0,0.0
,1785,1124.0,1.083767,,-220.89000000000001,515.09,1.0,False,True,0.0,,True,1200.0,400.0
,1787,430.2,1.021039,,-94.92,272.25,1.0,False,True,0.0,,True,600.0,200.0
,1792,-90.3,1.020092,,-15.2,34.64,1.0,False,True,0.0,,True,100.0,-120.4
,1793,1250.4,1.04708,,-297.68,926.35,1.0,False,True,0.0,,True,2000.0,666.67
,1796,42.29,1.005885,,-12.79,36.93,1.0,False,True,0.0,,True,80.0,0.0
,1807,-0.6,1.04521,,-38.16,111.23,1.0,False,True,0.0,,True,100.0,-0.8
,1811,53.6,1.03994,,-5.66,12.89,1.0,False,True,0.0,,True,70.88,0.0
,1813,311.46,1.039354,,-70.91,174.22,1.0,False,True,0.0,,True,400.0,133.33
,1818,246.0,1.039397,,-51.71,132.46,1.0,False,True,0.0,,True,300.0,0.0
,1821,658.2,1.043084,,-134.47,356.05,1.0,False,True,0.0,,True,800.0,266.67
,1822,64.8,1.020728,,-13.78,36.04,1.0,False,True,0.0,,True,80.0,0.0
,1842,29.17,1.080669,,-16.8,58.01,1.0,False,True,0.0,,True,120.0,0.0
,1845,117.60000000000001,1.028122,,-62.74,40.94,1.0,False,True,0.0,,True,123.48,0.0
,1846,40.6,1.002793,,-11.36,38.42,1.0,False,True,0.0,,True,80.0,0.0
,1849,2.89,1.014744,,-10.09,11.52,1.0,False,True,0.0,,True,32.97,0.0
,1850,15.6,1.053982,,-8.89,11.76,1.0,False,True,0.0,,True,31.92,0.0
,1851,-241.8,1.054605,,-16.52,58.16,1.0,False,True,0.0,,True,100.0,-322.40000000000003
