name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,max_loading_percent
,,450,143,1.0,0.98192,10.49788,0.0,0.0,2.69987217986833,1.0,1,ol,True,100.0
,,450,1600,1.0,1.0108,10.59896,0.0,0.0,2.85028711842036,1.0,1,ol,True,100.0
,,7897,143,1.0,1.09744,10.28128,0.0,0.0,2.40056164557792,1.0,1,ol,True,100.0
,,7897,1600,1.0,1.1552,10.38236,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,2104,1581,1.0,0.2888,3.1768,0.0,0.0,1.85055954703412,1.0,1,ol,True,100.0
,,2104,7415,1.0,0.2888,3.1768,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,269,2045,1.0,0.29602,3.1046,0.0,0.0,2.14987008132453,1.0,1,ol,True,100.0
,,269,7415,1.0,0.29602,3.1046,0.0,0.0,2.20000839417521,1.0,1,ol,True,100.0
,,5937,8432,1.0,0.76532,8.50516,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,5937,815,1.0,0.66424,9.747,0.0,0.0,1.70014460848208,1.0,1,ol,True,100.0
,,8538,8432,1.0,0.77976,8.33188,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,8538,815,1.0,0.6498,9.025,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,1653,1543,1.0,3.971,39.73888,0.0,0.0,2.09973176847385,1.0,1,ol,True,100.0
,,1653,7673,1.0,2.65696,21.8766,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,2322,4149,1.0,2.11992,11.77088,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2322,598,1.0,2.0812,9.43316,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,8375,6998,1.0,0.47652,3.88436,0.0,0.0,1.85055954703412,1.0,1,ol,True,100.0
,,8375,4902,1.0,3.50892,27.49376,0.0,0.0,1.70014460848208,1.0,1,ol,True,100.0
,,941,6998,1.0,0.49096,3.79772,0.0,0.0,1.70014460848208,1.0,1,ol,True,100.0
,,941,4902,1.0,3.58112,26.91616,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,6753,6189,1.0,1.76168,18.03556,0.0,0.0,1.49959135707937,1.0,1,ol,True,100.0
,,6753,4054,1.0,1.53064,14.88764,0.0,0.0,1.59986798278073,1.0,1,ol,True,100.0
,,3312,6189,1.0,1.71836,18.38212,0.0,0.0,1.49959135707937,1.0,1,ol,True,100.0
,,3312,4054,1.0,1.55952,14.56996,0.0,0.0,1.6500062956314,1.0,1,ol,True,100.0
,,1382,4400,1.0,0.502876,6.636124,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,1382,5144,1.0,0.55176,5.521956,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7850,5877,1.0,0.494164,6.760996,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7850,5144,1.0,0.565796,5.400956,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,8000,8200,1.0,0.0,0.060975,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2321,8200,1.0,0.0,0.060975,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,842,153,1.0,1.134012,4.319942,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,842,3597,1.0,3.527997,12.546006,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,528,5526,1.0,0.9386,9.71812,0.0,0.0,2.30028501987656,1.0,1,ol,True,100.0
,,528,4163,1.0,0.95304,9.50152,0.0,0.0,2.54945724131629,1.0,1,ol,True,100.0
,,3528,2486,1.0,0.468996,2.914164,0.0,0.0,1.45124863119029,1.0,1,ol,True,100.0
,,3528,4166,1.0,0.47916,2.856084,0.0,0.0,0.99986569346022,1.0,1,ol,True,100.0
,,1161,8597,1.0,0.42592,3.193916,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,1161,5324,1.0,0.41624,3.256836,0.0,0.0,1.29903810567666,1.0,1,ol,True,100.0
,,8689,3276,1.0,0.12996,1.11188,0.0,0.0,2.59959555416697,1.0,1,ol,True,100.0
,,8689,4225,1.0,0.12996,1.12632,0.0,0.0,2.40056164557792,1.0,1,ol,True,100.0
,,4921,3276,1.0,0.11552,1.18408,0.0,0.0,2.25014670702588,1.0,1,ol,True,100.0
,,4921,7616,1.0,0.11552,1.09744,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,6758,5526,1.0,0.12996,1.06856,0.0,0.0,2.4506999584286,1.0,1,ol,True,100.0
,,6758,4225,1.0,0.12996,1.05412,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,4087,2486,1.0,0.30008,1.830004,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,4087,781,1.0,0.289916,1.694,0.0,0.0,1.45124863119029,1.0,1,ol,True,100.0
,,6870,8597,1.0,0.30976,1.32616,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,6870,1345,1.0,0.315084,1.29712,0.0,0.0,1.60083483729851,1.0,1,ol,True,100.0
,,6812,1368,1.0,0.7942,9.8914,0.0,0.0,2.69987217986833,1.0,1,ol,True,100.0
,,6812,375,1.0,0.88084,9.22716,0.0,0.0,2.80014880556968,1.0,1,ol,True,100.0
,,6018,5526,1.0,0.60648,7.55212,0.0,0.0,2.30028501987656,1.0,1,ol,True,100.0
,,6018,8333,1.0,0.6498,8.7362,0.0,0.0,2.25014670702588,1.0,1,ol,True,100.0
,,5692,3276,1.0,0.4332,3.29232,0.0,0.0,2.20000839417521,1.0,1,ol,True,100.0
,,5692,8898,1.0,0.37544,3.81216,0.0,0.0,1.85055954703412,1.0,1,ol,True,100.0
,,3354,9229,1.0,2.59424,17.26912,0.0,0.0,1.45124863119029,1.0,1,ol,True,100.0
,,3354,6286,1.0,2.948044,17.17716,0.0,0.0,1.50111069989303,1.0,1,ol,True,100.0
,,5484,9229,1.0,3.106796,16.103164,0.0,0.0,1.55097276859577,1.0,1,ol,True,100.0
,,5484,1480,1.0,2.801876,17.376084,0.0,0.0,1.60083483729851,1.0,1,ol,True,100.0
,,6967,1828,1.0,0.0,0.0968,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,6967,7773,1.0,0.0,0.0968,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7955,9229,1.0,4.066084,19.41324,0.0,0.0,1.0995898308657,1.0,1,ol,True,100.0
,,7955,3196,1.0,3.790204,20.101004,0.0,0.0,1.0995898308657,1.0,1,ol,True,100.0
,,7549,666,1.0,2.783,22.487124,0.0,0.0,1.50111069989303,1.0,1,ol,True,100.0
,,7549,1219,1.0,3.248124,21.42184,0.0,0.0,1.55097276859577,1.0,1,ol,True,100.0
,,3614,8730,1.0,0.51984,7.0034,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,3614,6245,1.0,0.60648,5.9926,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,7030,1678,1.0,0.12996,0.99636,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,7030,7419,1.0,0.05776,0.51984,0.0,0.0,2.14987008132453,1.0,1,ol,True,100.0
,,1015,2501,1.0,0.7942,8.21636,0.0,0.0,1.99945514277249,1.0,1,ol,True,100.0
,,1015,8555,1.0,1.0108,11.07548,0.0,0.0,1.80042123418344,1.0,1,ol,True,100.0
,,6076,3884,1.0,1.8772,18.75756,0.0,0.0,1.80042123418344,1.0,1,ol,True,100.0
,,2934,8321,1.0,1.32848,14.88764,0.0,0.0,2.49931892846562,1.0,1,ol,True,100.0
,,1094,3884,1.0,2.28152,21.60224,0.0,0.0,2.20000839417521,1.0,1,ol,True,100.0
,,1094,1131,1.0,1.77612,18.90196,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,4047,6638,1.0,0.289916,1.32616,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,4047,7316,1.0,0.242,1.9602,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2548,7828,1.0,1.620916,11.8338,0.0,0.0,1.45124863119029,1.0,1,ol,True,100.0
,,2548,4950,1.0,1.588004,12.06612,0.0,0.0,1.45124863119029,1.0,1,ol,True,100.0
,,3977,3621,1.0,1.25628,15.84068,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,3977,8973,1.0,2.32484,21.14016,0.0,0.0,2.04959345562317,1.0,1,ol,True,100.0
,,7003,3369,1.0,0.0,0.66424,0.0,0.0,1.15014250993828,1.0,1,ol,True,100.0
,,4324,3683,1.0,1.70392,17.66012,0.0,0.0,1.49959135707937,1.0,1,ol,True,100.0
,,4324,6709,1.0,0.6498,5.25616,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,2379,1951,1.0,3.45576,16.42212,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2379,7678,1.0,3.1702,17.834916,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5025,7952,1.0,1.27072,10.42568,0.0,0.0,2.75001049271901,1.0,1,ol,True,100.0
,,5025,6445,1.0,1.02524,12.0574,0.0,0.0,2.90042543127104,1.0,1,ol,True,100.0
,,6574,7952,1.0,1.21296,10.1802,0.0,0.0,2.80014880556968,1.0,1,ol,True,100.0
,,6574,8400,1.0,1.47288,11.53756,0.0,0.0,2.4506999584286,1.0,1,ol,True,100.0
,,6386,5593,1.0,1.830004,14.504996,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,6386,8144,1.0,1.86824,14.36996,0.0,0.0,1.39876224308214,1.0,1,ol,True,100.0
,,6693,8425,1.0,0.36784,2.24092,0.0,0.0,1.50111069989303,1.0,1,ol,True,100.0
,,6693,2886,1.0,0.344124,2.343044,0.0,0.0,1.50111069989303,1.0,1,ol,True,100.0
,,5205,9183,1.0,3.05404,16.682996,0.0,0.0,1.04972776216296,1.0,1,ol,True,100.0
,,5205,7409,1.0,2.985796,16.99808,0.0,0.0,1.0995898308657,1.0,1,ol,True,100.0
,,3086,5160,1.0,1.433124,8.543084,0.0,0.0,1.60083483729851,1.0,1,ol,True,100.0
,,3086,2886,1.0,1.44716,11.91608,0.0,0.0,1.55097276859577,1.0,1,ol,True,100.0
,,252,9183,1.0,1.349876,5.642956,0.0,0.0,1.29903810567666,1.0,1,ol,True,100.0
,,252,6717,1.0,1.20516,6.394124,0.0,0.0,1.24917603697392,1.0,1,ol,True,100.0
,,4179,9183,1.0,1.291796,7.759004,0.0,0.0,1.65069690600125,1.0,1,ol,True,100.0
,,4179,4701,1.0,1.26324,7.183044,0.0,0.0,1.65069690600125,1.0,1,ol,True,100.0
,,5911,9183,1.0,0.35816,2.225916,0.0,0.0,0.99986569346022,1.0,1,ol,True,100.0
,,5911,1970,1.0,0.347996,2.26512,0.0,0.0,1.14945189956844,1.0,1,ol,True,100.0
,,2013,4696,1.0,0.05054,0.51262,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,2013,4823,1.0,0.05054,0.51262,0.0,0.0,1.90069785988479,1.0,1,ol,True,100.0
,,1433,245,1.0,2.47324,14.27316,0.0,0.0,1.0995898308657,1.0,1,ol,True,100.0
,,1433,5732,1.0,3.735996,21.427164,0.0,0.0,1.04972776216296,1.0,1,ol,True,100.0
,,2935,245,1.0,2.072004,10.874996,0.0,0.0,0.99986569346022,1.0,1,ol,True,100.0
,,2935,3102,1.0,2.885124,16.36888,0.0,0.0,1.19931396827118,1.0,1,ol,True,100.0
,,4892,6467,1.0,1.05412,14.93096,0.0,0.0,2.54945724131629,1.0,1,ol,True,100.0
,,4892,6847,1.0,1.09744,12.83716,0.0,0.0,2.80014880556968,1.0,1,ol,True,100.0
,,2600,2612,1.0,2.496956,12.481876,0.0,0.0,1.04972776216296,1.0,1,ol,True,100.0
,,2600,9072,1.0,2.65716,13.412124,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,2117,2612,1.0,2.97176,8.53776,0.0,0.0,1.04972776216296,1.0,1,ol,True,100.0
,,2117,3197,1.0,1.562836,8.65392,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,8380,4794,1.0,0.76532,8.47628,0.0,0.0,2.69987217986833,1.0,1,ol,True,100.0
,,8380,5561,1.0,0.7942,9.61704,0.0,0.0,2.59959555416697,1.0,1,ol,True,100.0
,,5762,6651,1.0,1.57784,6.71792,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,5762,4063,1.0,1.491204,7.20192,0.0,0.0,99999.0,1.0,1,ol,True,100.0
,,3408,1715,1.0,0.73644,8.86616,0.0,0.0,99999.0,1.0,1,ol,True,100.0
