name,std_type,hv_bus,lv_bus,sn_mva,vn_hv_kv,vn_lv_kv,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_step_degree,tap_pos,tap_phase_shifter,parallel,df,in_service,max_loading_percent
,,5054,1449,99.999,220.0,110.0,5.94931917125057,0.149498505,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,5054,9236,99.999,220.0,110.0,6.14085779968861,0.145298547,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,6567,5423,99.999,380.0,110.0,7.45678438206793,0.147498525,0.0,0.0,0.0,hv,0.0,,,1.8733,,-1.0,False,1,1.0,True,100.0
,,6567,5423,99.999,380.0,110.0,8.45172921916186,0.130898691,0.0,0.0,0.0,hv,0.0,,,1.8733,,-1.0,False,1,1.0,True,100.0
,,887,4876,99.999,220.0,110.0,8.41065777484103,0.11899881,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,4387,1072,99.999,220.0,110.0,6.48689033377718,0.11699883,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,4387,1072,99.999,220.0,110.0,6.61001701589286,0.11399886,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,7571,5953,99.999,380.0,110.0,8.34091618597574,0.122498775,0.0,0.0,0.0,hv,0.0,,,2.6979,,-1.0,False,1,1.0,True,100.0
,,7571,5953,99.999,380.0,110.0,8.25849399376654,0.139398606,0.0,0.0,0.0,hv,0.0,,,2.6979,,-1.0,False,1,1.0,True,100.0
,,3439,4598,99.999,380.0,110.0,8.04866342077417,0.141498585,0.0,0.0,0.0,hv,0.0,,,2.6979,,-1.0,False,1,1.0,True,100.0
,,3439,4598,99.999,380.0,110.0,7.88054975874646,0.144698553,0.0,0.0,0.0,hv,0.0,,,2.6979,,-1.0,False,1,1.0,True,100.0
,,9009,8829,99.999,380.0,110.0,7.46962116365045,0.144398556,0.0,0.0,0.0,hv,0.0,,,1.8733,,-1.0,False,1,1.0,True,100.0
,,9009,8829,99.999,380.0,110.0,7.30651589613637,0.147498525,0.0,0.0,0.0,hv,0.0,,,1.8733,,-1.0,False,1,1.0,True,100.0
,,920,4569,99.999,220.0,110.0,7.0426592146819,0.131598684,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,7789,3436,99.999,220.0,110.0,6.59307668875122,0.12799872,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,8884,479,99.999,380.0,110.0,7.5925584629837,0.105598944,0.0,0.0,0.0,hv,0.0,,,5.2632,,1.0,False,1,1.0,True,100.0
,,1262,479,99.999,220.0,110.0,7.84436364026561,0.145098549,0.0,0.0,0.0,hv,0.0,,,9.4488,,-1.0,False,1,1.0,True,100.0
,,1262,479,99.999,220.0,110.0,7.53095412398621,0.141498585,0.0,0.0,0.0,hv,0.0,,,9.4488,,-1.0,False,1,1.0,True,100.0
,,2676,1681,99.999,220.0,110.0,6.18594756198073,0.141098589,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,2676,1681,99.999,220.0,110.0,5.8954804329912,0.143198568,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,2385,2067,99.999,220.0,110.0,8.52609058735464,0.22899771,0.0,0.0,0.0,hv,0.0,,,2.0661,,-1.0,False,1,1.0,True,100.0
,,5159,571,99.999,220.0,110.0,6.05973236553042,0.147398526,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,1437,1323,99.999,220.0,110.0,6.46624363532036,0.12499875,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,1437,1323,99.999,220.0,110.0,6.59298151437228,0.12299877,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,1437,1323,99.999,220.0,110.0,6.71900447135099,0.1199988,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,2418,7335,99.999,220.0,110.0,6.96410080566397,0.122098779,0.0,0.0,0.0,hv,0.0,,,1.70940000000001,,-1.0,False,1,1.0,True,100.0
,,2418,7335,99.999,220.0,110.0,6.56141357514691,0.11899881,0.0,0.0,0.0,hv,0.0,,,1.70940000000001,,-1.0,False,1,1.0,True,100.0
,,1667,9144,99.999,380.0,110.0,4.59362922155032,0.103898961,0.0,0.0,0.0,hv,0.0,,,1.8733,,-1.0,False,1,1.0,True,100.0
,,3884,9143,1316.0,380.0,220.0,25.09785982694939,0.534296,0.0,0.0,0.154768,hv,0.0,,,20.728,,-1.0,False,1,1.0,True,100.0
,,9143,1872,99.999,220.0,110.0,6.0375630842008,0.156298437,0.0,0.0,0.0,hv,0.0,,,1.70940000000001,,-1.0,False,1,1.0,True,100.0
,,9143,1872,99.999,220.0,110.0,5.90584338006144,0.145898541,0.0,0.0,0.0,hv,0.0,,,1.70940000000001,,-1.0,False,1,1.0,True,100.0
,,6045,1097,99.999,220.0,110.0,6.9005295781951,0.153098469,0.0,0.0,0.0,hv,0.0,,,5.7377,,-1.0,False,1,1.0,True,100.0
,,8321,6433,954.0,380.0,220.0,13.67227815084699,0.303372,0.0,0.0,0.0,hv,0.0,,,0.25059999999999,,1.0,False,1,1.0,True,100.0
,,2040,6005,954.0,380.0,220.0,25.54919787614194,0.234684,0.0,0.0,-0.130098,hv,0.0,,,1.5668,,1.0,False,1,1.0,True,100.0
,,6005,3668,99.999,220.0,110.0,6.61014144459052,0.12099879,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,6005,3668,99.999,220.0,110.0,6.22995529289714,0.11799882,0.0,0.0,0.0,hv,,,,,,,False,1,1.0,True,100.0
,,8550,6257,99.999,220.0,110.0,7.11923185712827,0.164598354,0.0,0.0,0.0,hv,0.0,,,9.4488,,-1.0,False,1,1.0,True,100.0
,,8550,6257,99.999,220.0,110.0,8.71282277574904,0.22899771,0.0,0.0,0.0,hv,0.0,,,4.54540000000001,,1.0,False,1,1.0,True,100.0
,,1921,1083,99.999,220.0,110.0,6.1122908705982,0.142098579,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,9193,3140,99.999,380.0,110.0,8.09554737634163,0.157298427,0.0,0.0,0.0,hv,0.0,,,4.3062,,-1.0,False,1,1.0,True,100.0
,,9193,3140,99.999,380.0,110.0,7.84004217248444,0.159398406,0.0,0.0,0.0,hv,0.0,,,4.3062,,-1.0,False,1,1.0,True,100.0
,,5496,8407,99.999,220.0,110.0,6.45538721975801,0.136898631,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,5496,8407,99.999,220.0,110.0,6.52162805475678,0.134798652,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,1142,5081,99.999,220.0,110.0,7.13640369931285,0.129498705,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,1142,5081,99.999,220.0,110.0,7.0837129681515,0.129498705,0.0,0.0,0.0,hv,0.0,,,2.5424,,-1.0,False,1,1.0,True,100.0
,,1505,4303,99.999,380.0,110.0,8.49453737439823,0.144098559,0.0,0.0,0.0,hv,0.0,,,4.3062,,-1.0,False,1,1.0,True,100.0
,,1505,4303,99.999,380.0,110.0,8.36379599029929,0.146298537,0.0,0.0,0.0,hv,0.0,,,4.3062,,-1.0,False,1,1.0,True,100.0
,,3980,35,724.0,380.0,220.0,11.91204469460587,0.324352,0.0,0.0,0.0,hv,0.0,,,0.25059999999999,,1.0,False,1,1.0,True,100.0
,,3980,1640,99.999,380.0,110.0,5.32045542191547,0.113398866,0.0,0.0,0.0,hv,0.0,,,0.1815,,-1.0,False,1,1.0,True,100.0
